source,target,action
9/11 hijackers,local airstrips,took flight lessons at
Aeroflot,Edward Snowden,booked flight for
Al Gore,Jeffrey Epstein,flew as passenger on
Alan M. Dershowitz,Jeffrey Epstein,traveled on aircraft owned by
Alan M. Dershowitz,Jane Doe #3 (HOUSE_OVERSIGHT_010735) (HOUSE_OVERSIGHT_010735),appeared on flight logs alongside but never on same flights as
Alan M. Dershowitz,Jeffrey Epstein,appeared_in_flight_logs_of
Alan M. Dershowitz,"United States District Court, Southern District of Florida",examined flight manifests
Alan M. Dershowitz,Virginia Roberts Giuffre,traveled on flight with
Alan M. Dershowitz,Jeffrey Epstein,traveled on flight with
Alan M. Dershowitz,Ghislaine Maxwell,traveled on flight with
Alan M. Dershowitz,Palm Beach Police Department,provided incomplete flight logs to
Alan M. Dershowitz,Jeffrey Epstein,appeared on flight log with
Alan M. Dershowitz,law enforcement,provided flight logs to
Alan M. Dershowitz,October 2005,appeared on flight log dated
Alan M. Dershowitz,flight on November 20 2005,stated not on flight
Alan M. Dershowitz,Tatiana,traveled on aircraft with
Alan M. Dershowitz,flight logs,produced flight logs
Alan M. Dershowitz,members of Mr. Epstein’s legal team,made sworn declaration referencing plane travel
Alan M. Dershowitz,Ghislaine Maxwell,traveled on flight #1073 with
Alan M. Dershowitz,Emmy Taylor,traveled on flight #1073 with
Alan M. Dershowitz,Claire Hazel,traveled on flight #1073 with
Alan M. Dershowitz,Joel Pashcow,traveled on flight #1073 with
Alan M. Dershowitz,Mandy,traveled on flight #1073 with
Alan M. Dershowitz,Sarah Kellen,traveled on flight #1696 with
Alan M. Dershowitz,Adriana Mucinska,traveled on flight #1843 with
Alan M. Dershowitz,Tatianna Kovylskna,traveled on flight #1843 with
Alan M. Dershowitz,Police Detective Joe Recarey,provided flight logs to
Alan M. Dershowitz,Kiev to meet,flew to
Alan M. Dershowitz,Palm Beach Police Detective Joe Recarey,provided flight logs to
Alan M. Dershowitz,Tatiana,flew with
Alan M. Dershowitz,Tatiana,was on a flight with
Alan M. Dershowitz,Palm Beach Police Department,provided flight logs to
Alan M. Dershowitz,Tatiana,flew_with
Alan M. Dershowitz,Ghislaine Maxwell,flew_with
Alan M. Dershowitz,Jeffrey Epstein,flew_with
Alan M. Dershowitz,federal and state authorities,flew to and met with
Alan M. Dershowitz,Town of Palm Beach,flew to
Alan M. Dershowitz,Jeffrey Epstein,flew on
Alan M. Dershowitz,Jeffrey Epstein,flew to and represented
Alan M. Dershowitz,Jeffrey Epstein,testified that he was not on a plane with
Alan M. Dershowitz,flight logs,asserted that flight logs exonerate him
Alan M. Dershowitz,Jane Doe #3,claimed to prove innocence using flight records
Alireza Ittihadieh,Jeffrey Epstein,provided aircraft contract details
Alireza Ittihadieh,Jeffrey Epstein,reported aircraft portfolio to
Alireza Ittihadieh,G550 aircraft,reported aircraft contract price for G550-5176
Andrew Farkas,Kelly Friendly,has available plane seats to New York
Andrés Pastrana Arango,Jeffrey Epstein,traveled on aircraft with
Bill Clinton,Jeffrey Epstein,traveled with on private plane
Bill Clinton,Jeffrey Epstein,flew on
Bill Clinton,Jeffrey Epstein's private plane,flew on
Bill Clinton,Ghislaine Maxwell,flew with
Bill Clinton,Sarah Kellen,flew with
Bill Clinton,Adriana Mucinska,flew with
Bill Clinton,Jeffrey Epstein,flew as passenger on
Bill Clinton,Jeffrey Epstein,traveled on aircraft with
Bill Clinton,Ghislaine Maxwell,flew with
Bill Clinton,Sarah Kellen,flew with
Bill Clinton,Adriana Mucinska,flew with
Bill Clinton,Jeffrey Epstein,ceased flying on aircraft with
Bill Clinton,Jeffrey Epstein,traveled on aircraft with
Bill Clinton,Jeffrey Epstein,flew with
Bill Clinton,Jeffrey Epstein,flew on private jet of
Bill Clinton,Jeffrey Epstein,flew on airplane of
Bill Clinton,Jeffrey Epstein's aircraft (Lolita Express),flew on private plane
Bill Clinton,Jeffrey Epstein,flew on
Bill Clinton,Jeffrey Epstein,appeared on flight logs of
Bill Clinton,Jeffrey Epstein's jet,flew on
Bill Clinton,Jeffrey Epstein,flew with as passenger on aircraft owned by
Bill Clinton,Jeffrey Epstein,appeared in flight logs of
Bill Clinton,Ghislaine Maxwell,flew with
Bill Clinton,Adriana Mucinska Ross,flew with
Bill Clinton,Ira Magaziner,flew with
Bill Clinton,Rodney Slater,flew with
Bill Clinton,Naomi Campbell,flew with
Bill Clinton,Jeffrey Epstein,flew on jet of
Bill Clinton,Jeffrey Epstein,flew on jet of
Bill Clinton,Jeffrey Epstein,flew on private jet owned by
Bill Clinton,Jeffrey Epstein's jet,took flights on
Bill Clinton,Jeffrey Epstein,flew with
Bill Clinton,Ghislaine Maxwell,flew with
Bill Clinton,Adriana Mucinska Ross,flew with
Bill Clinton,Ira Magaziner,flew with
Bill Clinton,Rodney Slater,flew with
Bill Clinton,Naomi Campbell,flew with
Bill Clinton,Chauntae Davies,flew with
Bill Clinton,Jeffrey Epstein,flew on
Bill Clinton,Jeffrey Epstein,flew on
Bill Clinton,Jeffrey Epstein,flew on private plane of
Bill Clinton,Jeffrey Epstein's private plane,flew on
Bill Clinton,Jeffrey Epstein's private plane,flew on
Bill Clinton,Jeffrey Epstein,traveled on private aircraft owned by
Bill Clinton,Jeffrey Epstein's Boeing 727,flew on
Bill Clinton,Jeffrey Epstein,took trips aboard planes and boats of
Bill Clinton,Jeffrey Epstein,traveled aboard planes and boats of
Bill Clinton,Jeffrey Epstein,flew on plane of
Bill Clinton,Jeffrey Epstein's private jet,flew on
Bill Clinton,Jeffrey Epstein's private jet,flew on
Bill Clinton,Jeffrey Epstein's jet,flew on
Bill Clinton,Jeffrey Epstein,flew on private plane of
Bill Clinton,Jeffrey Epstein,flew on private aircraft owned by
Bill Clinton,Jeffrey Epstein,flew on private jet
Bill Clinton,Jeffrey Epstein's plane,flew on
Carvana Co.,DriveTime,entered aircraft timesharing agreement with
Carvana Co.,DriveTime,amended aircraft timesharing agreement with
Chris Tucker,Jeffrey Epstein,traveled on aircraft with
Dave Rogers,Jeffrey Epstein,provided flight logs as pilot for
Dave Rogers,flight logs,provided flight logs
David Brenner,Monday,considered changing flight
David Edinger,ACJ319 aircraft,led delivery of first green airplane
David Rodgers,Jeffrey Epstein,piloted plane for
David Stern,Jeffrey Epstein,sent follow-up email regarding commercial flight training to
David Stern,Jeffrey Epstein,inquired about commercial flight requirements
David Stern,Jeffrey Epstein,asked about commercial flight training
Detective Michelle Pagan,Jet Aviation,received information about plane presence and coordinated surveillance at
Detective Michelle Pagan,Jeffrey Epstein,informed_about_airplane_location
Donald Trump,Jeffrey Epstein,flew on plane owned by
Donald Trump,the author,offered ride home on plane
Donald Trump,Leon,commented after plane crash
Doug Band,Bill Clinton,accompanied_on_flight
Doug Band,Jeffrey Epstein's jet,accompanied Bill Clinton on flights of
Eben Cassell,Jeffrey Epstein,reviewed flight logs related to
Eben Cassell,Alan M. Dershowitz,identified inconsistencies between flight logs provided by
Ed Boyden,travel agent,attempted to get plane fare refunded from
Edward Snowden,Moscow,boarded flight to
Edward Snowden,Moscow,departed Hong Kong and flew to
Edward Snowden,Moscow,boarded flight to
Edward Snowden,Hong Kong,flew to
Edward Snowden,Moscow,took flight to
Edward Snowden,Moscow,boarded flight to
Edward Snowden,Hong Kong,flew to Hong Kong
Edward Snowden,Hong Kong,boarded_flight_to
Edward Snowden,Aeroflot flight SU213,boarded flight
Edward Snowden,Aeroflot flight to Moscow,boarded_flight
Edward Snowden,Russia,arrived on plane to
Edward Snowden,Hong Kong,flew to
Edward Snowden,Moscow,boarded non-stop flight to
Edward Snowden,Moscow,traveled aboard Aeroflot plane to
Edward Snowden,Hong Kong,flew to
Ehud Barak,Jerusalem,flew to
Ehud Barak,Jeffrey Epstein,traveled on aircraft with
Ehud Barak,Israeli delegation,flew on
Eric Roth,World Wrestling Entertainment,designed and refurbished aircraft
Eric Roth,Donald Trump,designed and customized aircraft
Eric Roth,Donald Trump,reported sale of aircraft to
Eric Roth,Jeffrey Epstein,informed about off‑market aircraft and offered contact with source
Eric Roth,Donald Trump,mentioned sale of aircraft to
Eric Roth,Jeffrey Epstein,requested aircraft details from
Ernest Garcia III,DriveTime,entered into aircraft timesharing agreement with
FBI,Jeffrey Epstein,intercepted aircraft at airport
General Alexander,"Washington, D.C.",flew to
Ghislaine Maxwell,Jeffrey Epstein over 300 times during investigation period,was on flights with
Ghislaine Maxwell,Jeffrey Epstein,flew with
Ghislaine Maxwell,Jane Doe 102,flew
Ghislaine Maxwell,Bill Clinton,flew back
Ghislaine Maxwell,Jeffrey Epstein,traveled on private airplane with
Ghislaine Maxwell,Jeffrey Epstein and narrator,obtained helicopter pilot license and piloted flight with
Ghislaine Maxwell,Lawrence Summers,boarded flight with
Glenn Greenwald,Brazil,flew back to
Glenn Greenwald,Brazil,flew to
Graydon Carter,Bill Clinton,flew
Gregg Launer,Global Express XRS,installed entertainment system in aircraft
Gregg Launer,Wayne Huizenga,installed SkyTheater system in aircraft for
Gregg Launer,Donald Trump,installed entertainment system in aircraft for
Guy Amico,Larry Visoski,sent email about aircraft photos
Harrison,Julian Snowden,booked decoy flights for
Harrison,Julian Snowden,booked decoy flights for
Hillary Rodham Clinton,"approximately 20,000 miles in six days",flew
Hillary Rodham Clinton,Paris,departed on plane from
Hillary Rodham Clinton,80 countries,flew and traveled to
International Jet,Donald Trump,refurbished aircraft for
James Patterson,Australia,flew to
Jeffrey Epstein,Larry Visoski,flew with pilot
Jeffrey Epstein,Bill Clinton,traveled on plane with
Jeffrey Epstein,his plane,turned back onto plane
Jeffrey Epstein,727 airplane,owned aircraft
Jeffrey Epstein,"Air Ghislaine, Inc.",registered ownership of aircraft to
Jeffrey Epstein,Jane Doe 102 (HOUSE_OVERSIGHT_010585),flew internationally with
Jeffrey Epstein,underage girls,used plane for sexual abuse of
Jeffrey Epstein,sexual assaults,traveled on planes in interstate commerce related to
Jeffrey Epstein,"Ghislaine Maxwell, Virginia Roberts, and ET",traveled on private plane with
Jeffrey Epstein,Alan Dershowitz and Tatiana,provided aircraft for travel with
Jeffrey Epstein,Defendant,flew with
Jeffrey Epstein,Virginia L. Giuffre,provided private plane access to
Jeffrey Epstein,Town of Palm Beach,maintained flight operations and aircraft maintenance base at
Jeffrey Epstein,U.S. Virgin Islands,redirected flight to
Jeffrey Epstein,"Bill Clinton, Kevin Spacey, Chris Tucker",chartered private aircraft for
Jeffrey Epstein,interstate commerce,engaged in travel on planes in
Jeffrey Epstein,sexual assaults on underage minors,used plane to facilitate
Jeffrey Epstein,"Prince Andrew, Duke of York",flew internationally to meet
Jeffrey Epstein,Kevin Spacey,flew
Jeffrey Epstein,Chris Tucker,flew
Jeffrey Epstein,Virginia Roberts Giuffre,paid for flight lessons for
Jeffrey Epstein,Bill Clinton,flew
Jeffrey Epstein,Kevin Spacey,flew
Jeffrey Epstein,Virginia Roberts Giuffre,traveled on private airplane with
Jeffrey Epstein,multiple passengers including celebrities and political figures,operated private airplane transporting
Jeffrey Epstein,Bill Clinton,flew
Jeffrey Epstein,"Prince Andrew, Duke of York",flew
Jeffrey Epstein,Bill Clinton,flew
Jeffrey Epstein,Kevin Spacey,flew
Jeffrey Epstein,Bill Clinton,flew
Jeffrey Epstein,Chris Tucker,flew
Jeffrey Epstein,Kevin Spacey,flew
Jeffrey Epstein,Ron Burkle,flew
Jeffrey Epstein,Casey Wasserman,flew
Jeffrey Epstein,Sarah Ransome,arranged flight for
Jeffrey Epstein,Evian water,requested item for aircraft
Jeffrey Epstein,Bill Clinton,flew on private jet to Africa
Jeffrey Epstein,Bill Clinton,flew
Jeffrey Epstein,Kevin Spacey,flew
Jeffrey Epstein,Bill Clinton,flew
Jeffrey Epstein,Kevin Spacey,flew
Jeffrey Epstein,Chris Tucker,flew
Jeffrey Epstein,Ghislaine Maxwell,boarded aircraft with
Jeffrey Epstein,Boeing 727,possessed aircraft including
Jeffrey Epstein,Bill Clinton,used aircraft to transport to Africa
Jeffrey Epstein,Kevin Spacey,used aircraft to transport to Africa
Jeffrey Epstein,Chris Tucker,used aircraft to transport to Africa
Jeffrey Epstein,Virginia,flew
Jeffrey Epstein,Bill Clinton,flew
Jeffrey Epstein,"Air Ghislaine, Inc.",registered planes to
Jeffrey Epstein,Virginia L. Giuffre,provided plane ticket to
Jeffrey Epstein,Bill Clinton,flew to South Africa with
Jeffrey Epstein,Kevin Spacey,flew to South Africa with
Jeffrey Epstein,Chris Tucker,flew to South Africa with
Jeffrey Epstein,Lawrence Henry Summers,hosted on private aircraft
Jeffrey Epstein,three young women,arrived at private aircraft with
Jeffrey Epstein,TED conference,organized flight to
Jeffrey Epstein,private 727 plane,flew on
Jeffrey Epstein,TED conference participants,hosted on private aircraft
Jeffrey Epstein,Thorbjørn Jagland,offered flight to
Jeffrey Epstein,Bill Clinton,provided flights on jets to
Jeffrey Epstein,Alan M. Dershowitz,provided flights on jets to
Jeffrey Epstein,London,allegedly flew victim to
Jeffrey Epstein,dinner event for President Clinton,allegedly flew victims to
Jeffrey Epstein,President Clinton,flew
Jeffrey Epstein,dinner event,allegedly flew for entertainment purposes to
Jeffrey Epstein,Kelly Friendly,offered plane seats via friend
Jeffrey Epstein,TED conference,chartered private plane to transport guests to
Jeffrey Epstein,Bill Clinton,provided private aviation to
Jeffrey Epstein,Saint Thomas,scheduled flight departure from
Jeffrey Epstein,unnamed recipient,offered to send private plane to
Jeffrey Epstein,Tuesday,reported that plane was delayed until
Jeffrey Epstein,flight,provided estimate of flight time
Jeffrey Epstein,Boeing 727,owned aircraft property
Jeffrey Epstein,Bill Clinton,flew
Jeffrey Epstein,Bill Clinton,flew
Jeffrey Epstein,Bill Clinton,transported on aircraft
Jeffrey Epstein,Jean Luc Brunel,transported young girls via private aircraft with
Jeffrey Epstein,Bill Clinton,traveled via private aircraft with
Jeffrey Epstein,RAF Marham,flew Gulfstream to
Jeffrey Epstein,Bill Clinton,flew to Africa
Jeffrey Epstein,Kevin Spacey,flew to Africa
Jeffrey Epstein,Chris Tucker,flew to Africa
Jeffrey Epstein,Joel,informed_about_aircraft_opportunity
Jeffrey Epstein,Benny Shabtai,discussed_plane_investment
Jeffrey Epstein,Tarek El Sayed,offered aircraft sale
Jeffrey Epstein,JEGE Inc.,owned aircraft through
Jeffrey Epstein,Gulfstream jet,flew on
Jeffrey Epstein,Bill Clinton,flew
Jeffrey Epstein,Kevin Spacey,flew
Jeffrey Epstein,Gulfstream and Boeing 727,owned aircraft
Jeffrey Epstein,Bill Clinton,flew
Jeffrey Epstein,"Bill Clinton, Kevin Spacey, Chris Tucker",flew to Africa with
Jeffrey Epstein,Bill Clinton,operated Boeing aircraft with
Jeffrey Epstein,President Clinton,flew two young women to dinner to entertain
Jeffrey Epstein,"Prince Andrew, Duke of York",allegedly flew
Jeffrey Epstein,Bill Clinton,allegedly flew
Jeffrey Epstein,Kelly Friendly,offered flight and car services to
Jeffrey Epstein,Bill Clinton,provided aircraft to
Jeffrey Epstein,Avram Noam Chomsky,arranged plane transport for friend from Athens
Jeffrey Epstein,Barry Cohen,"queried about depreciation rules, renovations, and sale of aircraft"
Jeffrey Epstein,Donald Trump,recounted plane crash involving
Jeffrey Epstein,Palm Beach International Airport,scheduled flight departure from
Jeffrey Epstein,recipient,offered to send plane to pick up
Jeffrey Epstein,United States on Tuesday,indicated flight plans to
Jeffrey Epstein,recipient,asked if recipient could arrange plane pickup
Jeffrey Epstein,7 to 7:30 p.m. wheels up,indicated flight timing of
Jeffrey Epstein,Paris,asked about flight duration to
Jeffrey Epstein,David Stern,inquired about commercial flight and noted presence of
Jeffrey Epstein,Bill Clinton,flew
Jeffrey Epstein,Kevin Spacey,flew
Jeffrey Epstein,Chris Tucker,flew
Jeffrey Epstein,Kelly Friendly,offered flight seat via Andrew Farkas to
Jeffrey Epstein,Bill Clinton,provided aircraft to
Jeffrey Epstein,Boeing B727 aircraft sale transaction,approved counter-offer for aircraft sale
Jeffrey Epstein,Joel,introduced Benny Shabtai's interest in partnering for plane purchase
Jeffrey Epstein,Joel,discussed_aircraft_interest
Julian Assange,Edward Snowden,arranged diversionary flights for
Kathy Gore Walters,Middle East and Central Asian clients,delivering aircraft to
Kathy Ruemmler,Jeffrey Epstein,asked whether business class is sufficient for Dubai flight
Kevin Spacey,Jeffrey Epstein,traveled on aircraft with
Larry Flynt,Paul Krassner,flew to vacation with
