Source,Target,Type,Id,Label,Weight,action
9/11 hijackers,local airstrips,Directed,0,,1,took flight lessons at
Aeroflot,Edward Snowden,Directed,1,,1,booked flight for
Al Gore,Jeffrey Epstein,Directed,2,,1,flew as passenger on
Alan M. Dershowitz,Jeffrey Epstein,Directed,3,,8,testified that he was not on a plane with
Alan M. Dershowitz,Jane Doe #3 (HOUSE_OVERSIGHT_010735) (HOUSE_OVERSIGHT_010735),Directed,4,,1,appeared on flight logs alongside but never on same flights as
Alan M. Dershowitz,"United States District Court, Southern District of Florida",Directed,6,,1,examined flight manifests
Alan M. Dershowitz,Virginia Roberts Giuffre,Directed,7,,1,traveled on flight with
Alan M. Dershowitz,Ghislaine Maxwell,Directed,9,,3,flew_with
Alan M. Dershowitz,Palm Beach Police Department,Directed,10,,2,provided flight logs to
Alan M. Dershowitz,law enforcement,Directed,12,,1,provided flight logs to
Alan M. Dershowitz,October 2005,Directed,13,,1,appeared on flight log dated
Alan M. Dershowitz,flight on November 20 2005,Directed,14,,1,stated not on flight
Alan M. Dershowitz,Tatiana,Directed,15,,4,flew_with
Alan M. Dershowitz,flight logs,Directed,16,,2,asserted that flight logs exonerate him
Alan M. Dershowitz,members of Mr. Epstein’s legal team,Directed,17,,1,made sworn declaration referencing plane travel
Alan M. Dershowitz,Emmy Taylor,Directed,19,,1,traveled on flight #1073 with
Alan M. Dershowitz,Claire Hazel,Directed,20,,1,traveled on flight #1073 with
Alan M. Dershowitz,Joel Pashcow,Directed,21,,1,traveled on flight #1073 with
Alan M. Dershowitz,Mandy,Directed,22,,1,traveled on flight #1073 with
Alan M. Dershowitz,Sarah Kellen,Directed,23,,1,traveled on flight #1696 with
Alan M. Dershowitz,Adriana Mucinska,Directed,24,,1,traveled on flight #1843 with
Alan M. Dershowitz,Tatianna Kovylskna,Directed,25,,1,traveled on flight #1843 with
Alan M. Dershowitz,Police Detective Joe Recarey,Directed,26,,1,provided flight logs to
Alan M. Dershowitz,Kiev to meet,Directed,27,,1,flew to
Alan M. Dershowitz,Palm Beach Police Detective Joe Recarey,Directed,28,,1,provided flight logs to
Alan M. Dershowitz,federal and state authorities,Directed,35,,1,flew to and met with
Alan M. Dershowitz,Town of Palm Beach,Directed,36,,1,flew to
Alan M. Dershowitz,Jane Doe #3,Directed,41,,1,claimed to prove innocence using flight records
Alireza Ittihadieh,Jeffrey Epstein,Directed,42,,2,reported aircraft portfolio to
Alireza Ittihadieh,G550 aircraft,Directed,44,,1,reported aircraft contract price for G550-5176
Andrew Farkas,Kelly Friendly,Directed,45,,1,has available plane seats to New York
Andrés Pastrana Arango,Jeffrey Epstein,Directed,46,,1,traveled on aircraft with
Bill Clinton,Jeffrey Epstein,Directed,47,,27,flew on private jet
Bill Clinton,Jeffrey Epstein's private plane,Directed,49,,3,flew on
Bill Clinton,Ghislaine Maxwell,Directed,50,,4,flew with
Bill Clinton,Sarah Kellen,Directed,51,,2,flew with
Bill Clinton,Adriana Mucinska,Directed,52,,2,flew with
Bill Clinton,Jeffrey Epstein's aircraft (Lolita Express),Directed,63,,1,flew on private plane
Bill Clinton,Jeffrey Epstein's jet,Directed,66,,3,flew on
Bill Clinton,Adriana Mucinska Ross,Directed,70,,2,flew with
Bill Clinton,Ira Magaziner,Directed,71,,2,flew with
Bill Clinton,Rodney Slater,Directed,72,,2,flew with
Bill Clinton,Naomi Campbell,Directed,73,,2,flew with
Bill Clinton,Chauntae Davies,Directed,84,,1,flew with
Bill Clinton,Jeffrey Epstein's Boeing 727,Directed,91,,1,flew on
Bill Clinton,Jeffrey Epstein's private jet,Directed,95,,2,flew on
Bill Clinton,Jeffrey Epstein's plane,Directed,101,,1,flew on
Carvana Co.,DriveTime,Directed,102,,2,amended aircraft timesharing agreement with
Chris Tucker,Jeffrey Epstein,Directed,104,,1,traveled on aircraft with
Dave Rogers,Jeffrey Epstein,Directed,105,,1,provided flight logs as pilot for
Dave Rogers,flight logs,Directed,106,,1,provided flight logs
David Brenner,Monday,Directed,107,,1,considered changing flight
David Edinger,ACJ319 aircraft,Directed,108,,1,led delivery of first green airplane
David Rodgers,Jeffrey Epstein,Directed,109,,1,piloted plane for
David Stern,Jeffrey Epstein,Directed,110,,3,asked about commercial flight training
Detective Michelle Pagan,Jet Aviation,Directed,113,,1,received information about plane presence and coordinated surveillance at
Detective Michelle Pagan,Jeffrey Epstein,Directed,114,,1,informed_about_airplane_location
Donald Trump,Jeffrey Epstein,Directed,115,,1,flew on plane owned by
Donald Trump,the author,Directed,116,,1,offered ride home on plane
Donald Trump,Leon,Directed,117,,1,commented after plane crash
Doug Band,Bill Clinton,Directed,118,,1,accompanied_on_flight
Doug Band,Jeffrey Epstein's jet,Directed,119,,1,accompanied Bill Clinton on flights of
Eben Cassell,Jeffrey Epstein,Directed,120,,1,reviewed flight logs related to
Eben Cassell,Alan M. Dershowitz,Directed,121,,1,identified inconsistencies between flight logs provided by
Ed Boyden,travel agent,Directed,122,,1,attempted to get plane fare refunded from
Edward Snowden,Moscow,Directed,123,,7,traveled aboard Aeroflot plane to
Edward Snowden,Hong Kong,Directed,126,,5,flew to
Edward Snowden,Aeroflot flight SU213,Directed,131,,1,boarded flight
Edward Snowden,Aeroflot flight to Moscow,Directed,132,,1,boarded_flight
Edward Snowden,Russia,Directed,133,,1,arrived on plane to
Ehud Barak,Jerusalem,Directed,138,,1,flew to
Ehud Barak,Jeffrey Epstein,Directed,139,,1,traveled on aircraft with
Ehud Barak,Israeli delegation,Directed,140,,1,flew on
Eric Roth,World Wrestling Entertainment,Directed,141,,1,designed and refurbished aircraft
Eric Roth,Donald Trump,Directed,142,,3,mentioned sale of aircraft to
Eric Roth,Jeffrey Epstein,Directed,144,,2,requested aircraft details from
Ernest Garcia III,DriveTime,Directed,147,,1,entered into aircraft timesharing agreement with
FBI,Jeffrey Epstein,Directed,148,,1,intercepted aircraft at airport
General Alexander,"Washington, D.C.",Directed,149,,1,flew to
Ghislaine Maxwell,Jeffrey Epstein over 300 times during investigation period,Directed,150,,1,was on flights with
Ghislaine Maxwell,Jeffrey Epstein,Directed,151,,2,traveled on private airplane with
Ghislaine Maxwell,Jane Doe 102,Directed,152,,1,flew
Ghislaine Maxwell,Bill Clinton,Directed,153,,1,flew back
Ghislaine Maxwell,Jeffrey Epstein and narrator,Directed,155,,1,obtained helicopter pilot license and piloted flight with
Ghislaine Maxwell,Lawrence Summers,Directed,156,,1,boarded flight with
